Budget,Certificate,Gross,Keywords,Original_Language,Popularity,Production_Companies,Production_Countries,Released_Year,Revenue,Series_Title,date_details
90000000,R,232617430.0,"['journalist', 'island', 'rape', 'hacker', 'based on novel or book', 'nazi', 'journalism', 'sweden', 'investigation', 'punk rock', 'scandinavia', 'stockholm, sweden', 'remake', 'antisocial personality disorder', 'disappearance', 'serial killer', 'hacking', 'sadist', 'biting', 'bible quote', 'dead cat', 'millennium', 'based on movie', 'aggressive', 'abuse', 'cold case', 'locked room mystery', 'dreary', 'missing girl', 'tense', 'cruel']",en,7.9568,"['Columbia Pictures', 'Metro-Goldwyn-Mayer', 'Scott Rudin Productions', 'Yellow Bird']","['Sweden', 'United States of America']",2011,232617430,The Girl with the Dragon Tattoo,2011-12-14
55000000,PG-13,218791811.0,"['ship', 'africa', 'fisherman', 'hijacking', 'somalia', 'poverty', 'pirate', 'terrorism', 'commando', 'hijack', 'cargo ship', 'ship hijacking', 'somali', 'set in africa']",en,7.5622,"['Columbia Pictures', 'Michael De Luca Productions', 'Scott Rudin Productions', 'Trigger Street Productions']",['United States of America'],2013,218791811,Captain Phillips,2013-09-27
1255000,R,43059790.0,"['friendship', 'martial arts', 'assassin', 'hero', 'hitman', 'child labour', 'human trafficking', 'protection', 'revenge', 'tragic hero', 'disappearance', 'drugs', 'detached', 'neo-noir', 'organ trafficking', 'sentimental', 'ambiguous', 'earnest', 'straightforward']",ko,5.3801,"['Opus Pictures', 'CJ Entertainment', 'United Pictures', 'M-Line Distribution']",['South Korea'],2010,43059790,Ajeossi,2010-08-04
28000000,R,201634991.0,"['drug dealer', 'police brutality', 'husband wife relationship', 'rap music', 'hip-hop', 'sibling relationship', 'aids', 'parent child relationship', 'gangster', 'rapper', 'ghetto', 'nightclub', 'assault', 'freedom of speech', 'protest', 'vandalism', 'recording contract', 'rags to riches', 'based on true story', 'terminal illness', 'road trip', 'feud', 'marijuana', 'gang', 'police chase', 'hospital', 'racism', 'los angeles, california', 'detroit, michigan', 'racial slur', 'wrongful arrest', 'death of brother', 'milwaukee wisconsin', 'police raid', 'police harassment', 'duringcreditsstinger', 'record company', 'music tour', '1980s', 'intimidation by police', 'los angeles riots', 'compton, california']",en,5.638,"['Broken Chair Flickz', 'Universal Pictures', 'Legendary Pictures', 'Cube Vision', 'Crucial Films', 'Circle of Confusion', 'Will Packer Productions', 'Xenon Pictures']","['United Kingdom', 'United States of America']",2015,201634991,Straight Outta Compton,2015-08-11
5000000,R,17112713.0,"['small town', 'mother', 'rice', 'golf', 'murder', 'teenage girl', 'misunderstanding', 'cell phone', 'drunk', 'disability', 'needle', 'drunkenness', 'acupuncture', 'mental retardation', 'mother son relationship', 'human mystery']",ko,4.5993,"['Barunson E&A', 'CJ Entertainment']",['South Korea'],2009,17112713,Madeo,2009-05-16
2600000,PG-13,0.0,"['prostitute', 'kidnapping', 'psychopath', 'pimp', 'investigation', 'gore', 'rope', 'based on true story', 'flu', 'serial killer', 'psychological thriller', 'cell phone', 'dog', 'tied up', 'meat hook', 'chisel', 'seoul, south korea']",ko,3.8329,['Bidangil Pictures'],['South Korea'],2008,0,Chugyeokja,2008-02-14
250000000,PG-13,958400000.0,"['gold', 'lake', 'based on novel or book', 'elves', 'dwarf', 'shapeshifting', 'mountain', 'giant spider', 'sequel', 'bear', 'troll', 'dragon', 'turns into animal', 'barrel', 'fantasy world', 'wizard', 'journey', 'ring', 'invisibility', 'captured', 'live action and animation', 'high fantasy', 'sword and sorcery', 'trekking', 'good versus evil', 'grand', 'defiant']",en,12.6415,"['New Line Cinema', 'Metro-Goldwyn-Mayer', 'WingNut Films']","['New Zealand', 'United States of America']",2013,958400000,The Hobbit: The Desolation of Smaug,2013-12-02
21555450,R,11652157.0,"['child abuse', 'authority', 'pastor', 'nanny', 'northern germany', 'punishment', 'puritan', 'incest', 'tailor', 'school teacher', 'future war', 'suppression', 'shame', 'small village', 'land baron', 'village people', '1910s', 'east elbia', 'landowner', 'patronage', 'rural setting', 'villagers', 'fear of the unknown']",de,2.0478,"['Lucky Red', 'Wega Film', 'Les Films du Losange', 'X Filme Creative Pool']","['Italy', 'Germany', 'Austria', 'France']",2009,11652157,Das weiße Band - Eine deutsche Kindergeschichte,2009-05-21
13000000,R,109421911.0,"['journalist', 'island', 'bondage', 'rape', 'strong woman', 'hacker', 'based on novel or book', 'nazi', 'blow job', 'antisocial personality disorder', 'female protagonist', 'whodunit', 'newspaper man', 'millennium', 'female empowerment', 'locked room mystery', 'girl with piercings', 'woman murder']",sv,4.8999,"['Det Danske Filminstitut', 'Nordisk Film Denmark', 'ZDF', 'Yellow Bird', 'Film Capital Stockholm', 'Spiltan Underhållning', 'Nordisk Film & TV Fond', 'Svenska Filminstitutet', 'SVT', 'Film i Väst']","['Denmark', 'Germany', 'Norway', 'Sweden']",2009,109421911,Män som hatar kvinnor,2009-02-27
35000000,R,107423.0,"['chicago, illinois', 'right and justice', 'political activism', 'black panther party', 'based on true story', 'black activist', 'counter-culture', 'historical fiction', 'activist', '1960s', 'courtroom drama']",en,3.0317,"['DreamWorks Pictures', 'Marc Platt Productions']",['United States of America'],2020,107423,The Trial of the Chicago 7,2020-09-25
5150000,NR,21700000.0,"['friendship', 'experiment', 'copenhagen, denmark', 'alcohol', 'melancholy', 'alcoholism', 'family relationships', 'teacher', 'drunk', 'teacher student relationship', 'intoxication', 'social pressure', 'pressure to perform', 'wistful', 'hilarious']",da,2.8379,"['Zentropa Entertainments', 'Film i Väst', 'Topkapi Films', 'Zentropa International Sweden', 'Zentropa International Netherlands']","['Denmark', 'Netherlands', 'Sweden']",2020,21700000,Druk,2020-09-12
25000000,R,129190869.0,"['sports', 'irish-american', 'boxer', 'biography', 'family business ', 'dysfunctional family', 'family conflict', 'hometown', 'boxing trainer', 'crack addict', 'lowell massachusetts', 'jumping rope', 'shadow boxing', 'boxing', 'boxer hero', 'professional athlete', 'black sheep', 'devoted girlfriend', 'local hero']",en,4.6548,"['The Weinstein Company', 'Relativity Media', 'Mandeville Films', 'Closest to the Hole Productions', 'Protozoa Pictures']",['United States of America'],2010,129190869,The Fighter,2010-12-06
