Series_Title,Released_Year,Keywords,date_details,Certificate
Flipped,2010,"['based on novel or book', 'shyness', 'family relationships', 'unrequited love', 'neighbor', 'teenage boy', 'first crush', 'young love', 'opposites attract', 'multiple perspectives', '1950s', '1960s', 'based on young adult novel']",2010-07-26,PG
Toki o kakeru shôjo,2006,"['high school', 'time travel', 'surrealism', 'love', 'slice of life', 'teenage girl', 'school', 'schoolgirl', 'jumping from height', 'teenage romance', 'anime', 'japanese high school', 'time manipulation', 'familiar']",2006-07-15,NR
Death Note: Desu nôto,2006,"['suicide', 'police', 'heart attack', 'fbi', 'moral ambiguity', 'notebook', 'remake', 'murder', 'serial killer', 'tokyo, japan', 'based on manga', 'criminal', 'death', 'father son relationship', 'shinigami', 'japanese', 'supernatural power', 'psychotronic film', 'battle of wits', '死亡筆記']",2006-06-17,R
This Is England,2006,"['skinhead', 'england', 'vandalism', 'drugs', 'falklands war', 'xenophobia', '1980s']",2006-09-12,NR
Ex Machina,2014,"['android', 'dancing', 'friendship', 'man vs machine', 'distrust', 'artificial intelligence (a.i.)', 'isolation', 'technology', 'manipulation', 'deception', 'norway', 'laboratory', 'robot', 'power outage', 'surveillance camera', 'consciousness', 'existentialism', 'lockdown', 'female cyborg', 'human android relationship', 'critical', 'intense']",2014-12-14,R
Efter brylluppet,2006,"['daughter', 'copenhagen, denmark', 'marriage crisis', 'orphanage', 'wealth', 'wedding', 'india', 'family', 'woman director', 'fear of dying']",2006-02-24,12
The Last King of Scotland,2006,"['diplomat', 'luxury', 'naivety', 'based on novel or book', 'general', 'kidnapping', 'dictator', 'africa', 'mass murder', '1970s', 'affectation', 'charisma', 'polygamy', 'uganda', 'dictatorship', 'historical fiction', 'doctor', 'angry', 'zealous', 'idi amin', 'scottish', 'kampala', 'absurd', 'admiring', 'ambiguous', 'ambivalent', 'vibrant']",2006-09-01,R
Zodiac,2007,"['newspaper', 'journalist', 'california', 'based on novel or book', 'police', 'san francisco, california', 'killing', 'detective', '1970s', 'investigation', 'victim', 'code', 'murder', 'serial killer', 'crime scene', 'reporter', 'whodunit', 'alcoholic', 'young man', 'fourth of july', 'newspaper article', 'curious', 'cartoonist', '1960s', 'zodiac killer', 'clinical', 'bar', 'ambiguous', 'foreboding', 'ominous']",2007-02-28,R
Lucky Number Slevin,2006,"['sniper', 'assassin', 'assassination', 'gambling debt', 'identity', 'boss', 'gangster', 'mistake in person', 'fbi', 'murder', 'sniper rifle', 'horse racing', 'gambler', 'hoodlum', 'aggressive', 'amused', 'assertive']",2006-02-24,R
Joyeux Noël,2005,"['world war i', 'based on true story', 'truce', 'opera singer', 'christmas', '1910s', 'trench warfare', ""no man's land"", 'christmas eve']",2005-05-16,PG-13
Control,2007,"['suicide', 'new love', 'wife', 'epilepsy', 'medicine', 'punk rock', 'recording contract', 'record producer', 'record label', 'black and white', 'extramarital affair', 'joy division', 'tragic']",2007-05-17,R
Tangled,2010,"['princess', 'magic', 'hostage', 'fairy tale', 'horse', 'villain', 'musical', 'blonde', 'coming of age', 'tower', 'selfishness', 'healing power', 'female villain', 'adventurer', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick', 'magic land', 'comforting']",2010-11-24,PG
Zwartboek,2006,"['in love with enemy', 'world war ii', 'prosecution', 'netherlands', 'singer', 'nazi occupation', '1940s', 'the hague', 'dutch resistance']",2006-09-01,R
Brokeback Mountain,2005,"['secret love', 'wyoming, usa', 'countryside', 'homophobia', 'marriage crisis', 'intolerance', 'in the closet', 'summer', 'cowboy', 'lgbt', 'star crossed lovers', '1960s', 'thoughtful', 'closeted homosexual', 'gay romance', 'gay theme', 'gay relationship', 'bold', 'matter of fact']",2005-09-02,R
3:10 to Yuma,2007,"['dying and death', 'race against time', 'hero', 'saloon', 'parent child relationship', 'liberation of prisoners', 'arizona', 'transport of prisoners', 'wilderness', 'stetson', 'railway car', 'rivalry', 'gang', 'gunfight', 'family', 'dishonesty', 'heroic mission', 'righting the wronged', 'grand', 'factual']",2007-08-21,R
Crash,2004,"['daughter', 'police', 'race politics', 'installer', 'fall', 'car crash', 'racism', 'los angeles, california', 'bigotry', 'social services', 'collision', 'interwoven stories']",2004-09-10,R
Kung fu,2004,"['martial arts', 'china', 'magic', 'gangster', 'mafia', 'defense', 'policeman', 'wuxia', '1940s', 'anarchic comedy', 'pretending to be gay', 'canton']",2004-02-10,R
The Bourne Supremacy,2004,"['sniper', 'assassin', 'berlin, germany', 'amnesia', 'based on novel or book', 'espionage', 'lie', 'sequel', 'on the run', 'shootout', 'foot chase', 'exploding house', 'one against many', 'rail car', 'dark past', 'moscow, russia', 'hand to hand combat', 'action hero', 'bourne', 'jason bourne', 'dramatic', 'suspenseful']",2004-07-15,PG-13
The Machinist,2004,"['factory', 'insomnia', 'post it', 'machinist', 'osha', 'taunting', 'manhole', 'one armed man', 'torment', ""mother's day"", 'losing weight', 'old photograph', 'dostoevsky', 'urban gothic']",2004-01-18,R
Ray,2004,"['blindness and impaired vision', 'country music', 'jazz', 'loss of loved one', 'overdose', 'bus ride', 'georgia', 'melancholy', 'record producer', 'biography', 'rags to riches', 'childhood trauma', 'gospel', 'indianapolis', 'record label', 'recording studio', 'pianist', 'usa history', 'cautionary']",2004-09-12,PG-13
Lost in Translation,2003,"['hotel room', 'adultery', 'japan', 'unsociability', 'upper class', 'pop star', 'age difference', 'photographer', 'commercial', 'karaoke', 'homesickness', 'culture clash', 'jet lag', 'midlife crisis', 'loneliness', 'tokyo, japan', 'older man younger woman relationship', 'unlikely friendship', 'aftercreditsstinger', 'woman director', 'loving']",2003-08-29,R
Harry Potter and the Goblet of Fire,2005,"['witch', 'dying and death', 'based on novel or book', 'magic', 'boarding school', 'world cup', 'maze', 'mermaid', 'school of witchcraft', 'black magic', 'chosen one', 'sequel', 'vision', 'school', 'tournament', 'dragon', 'ghost', 'wizard', 'teenage hero', 'christmas', 'based on young adult novel']",2005-11-06,PG-13
Man on Fire,2004,"['mexico', 'mexico city, mexico', 'based on novel or book', 'kidnapping', 'bodyguard', 'diary', 'bible', 'remake', 'stuffed animal', 'revenge', 'gun battle', 'cell phone', 'alcoholic', 'grenade launcher', 'child kidnapping', 'bloodshed', 'swim meet', 'aggressive', 'ex-cia agent', 'mexican federale', 'mexican law enforcement', 'vigilante justice', 'corrupt cop', 'mexican police', 'personal security', 'suspenseful', 'gun death']",2004-04-18,R
Coraline,2009,"['friendship', 'dreams', 'based on novel or book', 'villain', 'eye', 'stuffed animal', 'stop motion', 'parallel world', 'button', 'new home', 'secret door', 'female villain', 'aftercreditsstinger', 'duringcreditsstinger', 'horror for children', 'talking cat', 'somber', 'parallel universe', 'neil gaiman', 'coraline', 'callous', 'ghoulish', 'gloomy', 'coraline y la puerta']",2009-02-05,PG
The Last Samurai,2003,"['japan', 'samurai', 'swordplay', 'general', 'sense of guilt', 'war veteran', 'sword', 'war crimes', 'loss of loved one', 'self-discovery', 'arms deal', 'homeland', 'katana', 'emperor', 'language barrier', 'mountain village', 'foreign legion', 'insurgence', 'mercenary', 'campaign', 'war strategy', 'gettysburg', 'slaughter', 'soldier', 'period drama', 'alcoholic', 'u.s. soldier', 'japanese army', 'warrior', '19th century', 'war trauma', 'vindictive', 'intense', 'antagonistic', 'mighty whitey', 'going native']",2003-11-22,R
The Magdalene Sisters,2002,"['nun', ""girls' boarding school"", 'based on true story', 'sin', 'psychological abuse', 'punishment', 'sexual harassment', 'religion', 'torture', 'ireland', 'human rights', 'catholic', 'convent school', 'laundry', 'physical abuse', 'evil nun', 'convent (nunnery)', '1960s', ""women's rights"", 'magdalene asylum']",2002-08-30,R
Good Bye Lenin!,2003,"['husband wife relationship', 'coma', 'bureaucracy', 'police state', 'berlin wall', 'loss of loved one', 'german democratic republic', 'socialism', 'single']",2003-02-09,R
In America,2002,"['new york city', 'aids', 'immigration', 'tenement', 'struggling actor', 'semi autobiographical', 'halloween costume', 'ice cream parlor', 'home renovation', '1980s', 'inspirational']",2002-09-12,PG-13
I Am Sam,2001,"['mentally disabled', 'foster parents', 'lawyer', 'pro bono', 'social services', 'coffee shop manager', 'pizza hut', ""children's book"", 'locked door', 'child custody', 'woman director', 'father daughter relationship', 'neurodiversity']",2001-12-03,PG-13
Adaptation.,2002,"['based on novel or book', 'marriage crisis', 'alligator', ""writer's block"", 'orchid', 'writer', 'twins', 'escritor']",2002-12-03,R
Black Hawk Down,2001,"['based on novel or book', 'ambush', 'chaos', 'militia', 'prisoner of war', 'wound', 'somalia', 'warlord', 'famine', 'arms dealer', 'based on true story', 'delta force', 'gunfight', 'combat', 'us military', '1990s', 'somber', 'helicopter crash', 'mogadishu', 'rescue operation', 'peacekeeper', 'soldiers', 'street shootout']",2001-12-18,R
Road to Perdition,2002,"['hotel', 'farm', 'hitman', 'illinois', 'great depression', 'road trip', 'based on comic', 'revenge', 'organized crime', 'mafia', 'bank robbery', 'based on graphic novel', 'homework', 'learning to drive', 'spoiled son', 'scarred face', 'liberty half dollar', 'lake michigan', '1930s', 'cautionary', 'ambivalent', 'callous']",2002-07-09,R
Das Experiment,2001,"['prison', 'journalist', 'rape', 'prisoner', 'experiment', 'based on novel or book', 'authority', 'prison cell', 'blackbox', 'scientific study', 'aggression', 'test person', 'imprisonment', 'manipulation', 'torture', 'humiliation', 'angry', 'absurd', 'dramatic', 'critical', 'antagonistic', 'audacious', 'awestruck', 'baffled', 'defiant', 'demeaning', 'earnest']",2001-03-07,16
Billy Elliot,2000,"['dancing', 'friendship', 'dreams', 'dancing class', 'northern england', ""workers' quarter"", 'strike', 'small person', 'homophobia', 'hope', 'mentor', 'sadness', 'socialism', 'youngster', 'letter', 'ballet dancer', 'street riots', 'coming of age', 'ballet', 'young boy', 'cross dressing', 'crying', 'single father', 'audition', 'dance class', 'retrospective', 'lgbt', 'revolt', 'ballet school', 'emotional vulnerability', 'helping children', 'smart kid', 'street kid', 'dance teacher', '1980s', 'miners strike', 'father son relationship', '80s throwback', 'ballet dancing', 'gay theme', 'late 20th century', 'teen playing kid', 'ya', 'generational divide', 'celebratory']",2000-05-19,R
Hedwig and the Angry Inch,2001,"['transvestism', 'transsexuality', 'singer', 'glam rock', 'lgbt', 'self identity', 'rock odyssey', 'military brat', 'restaurant chain', 'lgbt in the military', 'child molestation', 'theatrical manager', 'nonbinary director']",2001-01-19,R
Ocean's Eleven,2001,"['casino', 'pickpocket', 'heist', 'con artist', 'remake', 'caper', 'las vegas', 'inside man', 'security guard', 'ex-wife', 'ex-con', 'card dealer', 'explosives expert', 'security system', 'casino owner', 'professional thief', 'fight night', 'master plan', 'computer hacker', 'distractions', 'museum curator', 'casino vault', 'contortionist']",2001-12-05,PG-13
Vampire Hunter D: Bloodlust,2000,"['future', 'bounty hunter', 'chase', 'vampire', 'katana', 'post-apocalyptic future', 'gore', 'betrayal', 'tragic love', 'adult animation', 'anime', 'mutants', 'horror', 'based on light novel']",2000-08-25,R
"O Brother, Where Art Thou?",2000,"['music record', 'country music', 'based on novel or book', 'prophecy', 'southern usa', 'mississippi river', 'seduction', 'fraud', 'philosophical', 'reflective', 'dramatic', 'hilarious', 'amused', 'complicated', 'enchant', 'excited', 'melodramatic']",2000-05-12,PG-13
Interstate 60: Episodes of the Road,2002,"['motel', 'highway', 'convertible', 'surrealism', 'road trip', 'dream girl', 'judgment', 'lawyer', 'parallel world', 'courtroom', 'inspirational', 'romantic']",2002-04-13,R
"South Park: Bigger, Longer & Uncut",1999,"['hell', 'musical', 'surrealism', 'world supremacy', 'visions of hell', 'elementary school', 'atheist', 'satan', 'demon', 'lgbt', 'adult animation', 'aftercreditsstinger', 'based on tv series', 'gay sex', 'saddam hussein']",1999-06-17,R
Office Space,1999,"['work', 'waitress', 'printer', 'bad boss', 'satire', 'dallas texas', 'suburbia', 'co-workers relationship', 'corporate world', 'downsizing', 'embezzlement', 'software engineer', 'burnout', 'stapler', 'duringcreditsstinger', 'business rivalry']",1999-02-19,R
Happiness,1998,"['pedophilia', 'depression', 'suicide', 'secret love', 'rape', 'strike', 'sibling relationship', 'new jersey', 'therapist', 'female lover', 'dark comedy', 'satire', 'partnership', 'stalker', 'sister', 'suburbia', 'sexual harassment', 'loneliness', 'mistress', 'relationship', 'pedophile', 'parenting', 'separation', 'extramarital affair', 'family conflict', 'unhappiness', 'disturbed', 'shocking', 'obscene telephone call', 'thoughtful', 'father son relationship', 'traditional values', 'irony', 'hilarious']",1998-05-15,NC-17
Training Day,2001,"['drug dealer', 'california', 'police brutality', 'poker', 'bratva (russian mafia)', 'war on drugs', 'drug trafficking', 'police corruption', 'los angeles, california', 'gang member', 'rookie cop', 'narcotics cop', 'mexican american', 'cholo', 'neo-noir', 'admiring', 'audacious']",2001-09-02,R
Rushmore,1998,"['lone wolf', 'private school', 'theater play', 'theatre group', 'theater director', 'coming of age', 'precocious child', 'complex', 'teenager', 'comforting']",1998-09-17,R
Abre los ojos,1997,"['loss of sense of reality', ""love of one's life"", 'love triangle', 'madrid, spain', 'ladykiller', 'face operation', 'life extension', 'car crash', 'womanizer', 'best friend', 'car accident', 'psychiatrist', 'psychiatric ward', 'disfigured face', 'disfigurement']",1997-12-19,R
Being John Malkovich,1999,"['witch', 'sexual identity', 'individual', 'secret love', 'transvestism', 'identity', 'subconsciousness', 'new identity', 'pet', 'chimp', 'puppeteer', 'appropriation of another human being', 'externally controlled action', 'pet shop', 'shocking']",1999-09-02,R
As Good as It Gets,1997,"['new york city', 'friendship', 'waitress', 'single parent', 'restaurant', 'lone wolf', 'dogsitter', 'road trip', 'racist', 'neighbor', 'author', 'obsessive compulsive disorder (ocd)', 'single mother', 'home invasion', 'dog', 'novelist', 'art dealer', 'rude', 'obnoxious', 'unlikely friendship', 'hospitalization', 'painter as artist', 'generosity', 'mother son relationship', 'dog owner', 'gay artist', 'unexpected romance', 'daily routine', 'child with illness', 'homophobic']",1997-12-19,PG-13
The Fifth Element,1997,"['new york city', 'flying car', 'taxi', 'egypt', 'race against time', 'saving the world', 'cyborg', 'dystopia', 'anti hero', 'stowaway', 'space travel', 'chosen one', 'arms dealer', 'alien life-form', 'end of the world', 'priest', 'shootout', 'police chase', 'cab driver', 'cyberpunk', 'archaeologist', 'space opera', 'military', 'nostalgic', 'opera singer', 'futuristic city', 'ancient evil', 'cruise liner', 'hieroglyphics', 'spaceship', 'good versus evil', 'science fantasy', 'amused']",1997-05-02,PG-13
Le dîner de cons,1998,"['tax inspector', 'fool']",1998-04-15,15
Donnie Brasco,1997,"['florida', 'new york city', 'undercover', 'gangster', '1970s', 'based on true story', 'mobster', 'mafia', 'dirty cop', 'informant', 'surveillance', 'card playing', 'stealing money', 'marriage counselor', 'drug deal', 'fbi agent']",1997-02-24,R
Shine,1996,"['australia', 'letter', 'child prodigy', 'biography', 'jumping', 'pianist', 'concert hall', 'breakdown', 'piano']",1996-01-21,PG-13
Primal Fear,1996,"['chicago, illinois', 'child abuse', 'corruption', 'based on novel or book', 'court case', 'court', 'psychopath', 'bishop', 'manipulation', 'pornographic video', 'lawyer', 'whodunit', 'psychiatrist', 'mental illness', 'taunting', 'murder trial', 'altar boy', 'legal drama', 'legal thriller', 'suspenseful', 'harsh']",1996-03-06,R
Hamlet,1996,"['mother', 'denmark', 'loss of loved one', 'prince', 'based on play or musical', 'madness', 'aggressive', 'complex', 'antagonistic']",1996-12-25,PG-13
A Little Princess,1995,"['based on novel or book', 'parent child relationship', 'boarding school', 'servant', 'private school', 'female friendship', 'school', 'little girl', 'orphan', 'class differences', 'india', 'schoolgirl', 'presumed dead', 'attic', 'magic realism', 'interracial friendship', 'african american servant']",1995-05-10,G
Do lok tin si,1995,"['assassin', 'hitman', 'gambling', 'cigarette', 'surreal', 'beer', 'love', 'hong kong', 'drifter', 'bullet wound', 'killer', 'masturbation', 'infatuation', 'ice cream truck', 'mysterious', 'calm', 'relaxed', 'romantic', 'matador de aluguel']",1995-09-06,NR
Il postino,1994,"['island', 'fisherman', 'letter', 'postman', 'poet', 'naples, italy', 'love', 'poverty']",1994-04-07,PG
Clerks,1994,"['salesclerk', 'work', 'new jersey', 'loser', 'male friendship', 'junk food', 'black and white', 'video store', 'aftercreditsstinger', 'day in a life', 'workplace comedy', 'convenience store', 'wry']",1994-01-22,R
Short Cuts,1993,"['suicide', 'helicopter', 'cheating', 'loss of loved one', 'fishing', 'jazz singer or musician', 'modern society', 'cellist', 'earthquake', 'los angeles, california', 'hit by a car', 'multiple storylines']",1993-09-04,R
Philadelphia,1993,"['philadelphia, pennsylvania', 'court', 'jurors', 'aids', 'pennsylvania, usa', 'homophobia', 'lawsuit', 'partner', 'hiv', 'lawyer', 'dying', 'lgbt', 'discrimination', 'angry', 'judiciary', '1980s', 'somber', 'courtroom drama', 'anxious', 'loving', 'gay theme', 'cautionary', 'provocative', 'suspenseful', 'critical', 'antagonistic', 'celebratory', 'comforting', 'empathetic', 'hopeful']",1993-12-14,PG-13
The Muppet Christmas Carol,1992,"['future', 'london, england', 'based on novel or book', 'holiday', 'redemption', 'musical', 'puppet', 'past', 'puppetry', 'lost love', 'ghost', 'christmas music', 'christmas', '19th century', 'victorian era', 'christmas eve', 'christmas carols', 'christmas dinner', 'xmas eve']",1992-12-11,G
Malcolm X,1992,"['prison', 'new york city', 'police brutality', 'beach', 'assassination', 'muslim', 'police', 'ku klux klan', 'prison cell', 'koran', 'jail guard', 'bible', 'civil rights', 'islam', 'biography', 'martin luther king', 'nation of islam', 'mekka', 'pilgrimage', 'cabriolet', 'historical figure', 'based on memoir or autobiography', 'african american history']",1992-11-17,PG-13
The Last of the Mohicans,1992,"['based on novel or book', 'love triangle', 'native american', 'revenge', 'interracial relationship', 'period drama', 'historical', 'warfare', 'colonialism', '18th century', 'warrior', 'french and indian war']",1992-08-26,R
Kurenai no buta,1992,"['beach', 'mediterranean', 'italy', 'fascism', 'transformation', 'singer', 'war hero', 'air pirate', 'anime', 'playful', 'witty', 'adventure']",1992-06-12,PG
Glengarry Glen Ross,1992,"['estate agent', 'robbery', 'office', 'shop', 'betrayal', 'contest', 'cowardliness', 'real estate', 'aggressive', 'neo-noir', 'bleak', 'desperate', 'cutthroat', 'dreary', 'dialog driven', 'pressure']",1992-08-30,R
A Few Good Men,1992,"['underdog', 'dying and death', 'suicide', 'navy', 'right and justice', 'court case', 'suspicion of murder', 'guantanamo bay', 'marine corps', 'military court', 'code red', 'command', 'military base', 'u.s. navy', 'sexism', 'based on play or musical', 'flashback', 'court martial', 'platoon leader', 'military law', 'legal thriller']",1992-12-09,R
Fried Green Tomatoes,1991,"['based on novel or book', 'southern usa', 'alabama', 'tomato', 'cafe', 'bee', 'nursing home', 'tomboy', 'lesbian']",1991-12-27,PG-13
Barton Fink,1991,"['hotel', 'screenplay', 'mass murder', 'movie business', 'screenwriter', 'neighbor', 'los angeles, california', 'neo-noir', '1940s', 'escritor']",1991-05-18,R
Miller's Crossing,1990,"['street gang', 'corruption', 'prohibition era', 'gun', 'gambling debt', 'gangster', 'loyalty', 'irish-american', 'irish mob', 'betrayal', 'organized crime', 'shootout', 'drunkenness', 'angry', 'aggressive', 'neo-noir', '1920s', 'clinical', 'violence', 'approving', 'embarrassed']",1990-09-21,R
Who Framed Roger Rabbit,1988,"['lovesickness', 'based on novel or book', 'falsely accused', 'movie business', 'innocence', 'suspicion of murder', 'cartoon', 'villain', 'mental breakdown', 'melancholy', 'whodunit', 'los angeles, california', 'private detective', 'movie star', 'cartoon rabbit', 'neo-noir', '1940s', 'live action and animation', 'dreary', 'cheerful', 'shaggy dog story']",1988-06-22,PG
Spoorloos,1988,"['loss of loved one', 'kidnapping', 'roadhouse', 'disappearance', 'missing person', 'curious', 'mysterious disappearance', 'search for wife']",1988-08-29,NR
Withnail & I,1987,"['drug dealer', 'london, england', 'northern england', 'countryside', 'alcohol', 'darkness', 'flat', 'bath', 'dark comedy', 'uncle', 'cigar smoking', 'cannabis', 'money', 'rural area', 'cottage', 'poverty', 'cafe', 'strangulation', 'drugs', 'buddy', 'alcohol abuse', 'farmer', 'british pub', 'buddy comedy', 'unemployed', '1960s', 'gay theme']",1987-03-27,R
The Last Emperor,1987,"['suicide', 'experiment', 'china', 'isolation', 'buddhism', 'becoming an adult', 'war crimes', 'suicide attempt', 'war on drugs', 'revolution', 'drug addiction', 'opium', 'arranged marriage', 'world war ii', 'emperor', ""coup d'etat"", 'manchuria', 'dynasty', 'reeducation camp', 'biography', 'based on true story', 'autobiography', 'teacher', 'beijing, china', 'dowager', 'decadence', 'communism', '1920s', '1940s', '1950s', '1910s', '1930s', 'japanese occupation of china']",1987-10-04,PG-13
Empire of the Sun,1987,"['based on novel or book', 'shanghai, china', 'stadium', 'bravery', 'peasant', 'prisoner of war', 'coming of age', 'pacific war', 'chinese', 'japanese army', 'japanese soldier', 'japanese surrender', 'salt mine', 'internment camp', 'child protagonist', 'children in wartime', 'japanese occupation of china', 'suzhou, china']",1987-12-08,PG
Der Name der Rose,1986,"['interview', 'rehearsal', 'making of', 'umberto eco']",1986-10-11,
Blue Velvet,1986,"['drug dealer', 'small town', 'sexual obsession', 'detective', 'nightclub', 'ear', 'surrealism', 'psychological abuse', 'murder', 'drugs', 'policeman', 'voyeurism', 'disturbed', 'neo-noir']",1986-08-30,R
The Purple Rose of Cairo,1985,"['new york city', 'great depression', 'falling in love', 'movie star']",1985-01-26,PG
After Hours,1985,"['new york city', 'suicide', 'date', 'subway', 'nightclub', 'overdose', 'artist', 'surreal', 'punk rock', 'surrealism', 'coincidence', 'thief', 'murder', 'mobster', 'one night', 'vigilantism', 'soho', 'district', 'circumstance', 'paper mache', 'anxious', 'playful', 'bar', 'vigilante gang', 'absurd', 'hilarious', 'whimsical', 'amused']",1985-09-11,R
Zelig,1983,"['great depression', 'celebrity', 'mockumentary', 'chameleon', 'psychiatrist', 'found footage', 'newsreel footage', 'electroconvulsive therapy', '1920s', '1930s', 'historical images', 'mocking', 'historical events']",1983-07-15,PG
The Verdict,1982,"['coma', 'court', 'boston, massachusetts', 'affectation', 'redemption', 'lawyer', 'alcoholic', 'courtroom', 'defense attorney', 'pinball machine', 'courtroom drama', 'medical malpractice']",1982-12-07,R
Star Trek II: The Wrath of Khan,1982,"['spacecraft', 'life and death', 'genetics', 'asteroid', 'self sacrifice', 'teleportation', 'genesis', 'midlife crisis', 'terraforming', 'simulator', 'cadet', 'radiation', 'uss reliant', 'starship', 'revenge', 'cynical', 'weapon of mass destruction', 'space opera', 'macabre', 'mentor protégé relationship', 'taunting', 'hard', 'angry', 'aggressive', 'desperate', 'outer space', 'egotistical', 'antagonistic', 'arrogant', 'assertive', 'defiant', 'disdainful', 'disheartening']",1982-06-04,PG
First Blood,1982,"['prison', 'guerrilla warfare', 'dying and death', 'vietnam war', 'vietnam veteran', 'hero', 'vietnam', 'police brutality', 'sheriff', 'escape', 'police', 'gun', 'submachine gun', 'falsely accused', 'anti hero', 'destroy', 'self-defense', 'firearm', 'prosecution', 'attempt to escape', 'police operation', 'matter of life and death', 'tramp', 'national guard', 'woods', 'rural area', 'survivalist', 'special forces']",1982-10-22,R
Ordinary People,1980,"['chicago, illinois', 'depression', 'post-traumatic stress disorder (ptsd)', 'based on novel or book', 'suicide attempt', 'middle class', 'dysfunctional family', 'grief', 'bereavement', 'psychiatrist', 'guilt', 'grieving', ""survivor's guilt"", 'loss of son', 'hopeful', 'sincere', 'tragic', 'mother son conflict']",1980-09-19,R
Airplane!,1980,"['chicago, illinois', 'post-traumatic stress disorder (ptsd)', 'airplane', 'cataclysm', 'guitar', 'alcohol', 'stewardess', 'taxi driver', 'passenger', 'fear of flying', 'pilot', 'medicine', 'air controller', 'landing', 'saxophone', 'autopilot', 'parody', 'spoof', 'food poisoning', 'los angeles, california', 'alcohol abuse', 'aftercreditsstinger', 'satirical', 'inflatable life raft', 'anarchic comedy', 'hilarious']",1980-06-27,PG
Rupan sansei: Kariosutoro no shiro,1979,"['treasure', 'samurai', 'casino', 'clock tower', 'castle', 'count', 'based on comic', 'thief', 'counterfeit', 'based on manga', 'counterfeit money', 'anime', 'based on tv series', 'whimsical', 'vibrant']",1979-07-06,PG
Halloween,1978,"['mask', 'police', 'halloween', 'babysitter', 'marijuana', 'stalking', 'serial killer', 'maniac', 'killing spree', 'family', 'evil', 'psychotic', 'escaped killer']",1978-10-24,R
Le locataire,1976,"['suicide', 'paris, france', 'identity', 'psychopath', 'paranoia', 'hallucination', 'identity crisis', 'lodger', 'neighbor', 'tenant', 'descent into madness', 'cross dressing', 'psychological thriller', 'apartment building', 'noisy neighbor', 'handjob', 'death of neighbor', 'next door neighbor', 'nosy neighbor', 'tooth extraction', 'jumping from height', 'creepy neighbor', 'jumping from a window', 'psychological disintegration', 'paranoid thriller', 'rented rooms', 'personality change', 'psychological horror']",1976-05-24,R
Love and Death,1975,"['napoleon bonaparte', 'duel', 'execution', 'napoleonic wars', 'wheat', '19th century', 'anarchic comedy']",1975-06-10,PG
The Taking of Pelham One Two Three,1974,"['new york city', 'ransom', 'kidnapping', 'hostage', 'liberation of hostage', '1970s', 'mayor', 'hostage-taking', 'remake', 'train', 'police officer', 'hijack', 'new york subway']",1974-09-01,R
Blazing Saddles,1974,"['governor', 'saloon', 'gun', 'parody', 'marching band', 'breaking the fourth wall', 'spoof', 'racism', 'railroad', 'interrupted hanging', 'cowboy', 'western town', 'western spoof', 'ceremony', 'frontier town', 'saloon girl', 'coot', 'self-referential', 'satirical', 'anarchic comedy', 'anachronistic', 'farting']",1974-02-07,R
Serpico,1973,"['new york city', 'corruption', 'hippie', 'police', 'biography', 'idealism', 'based on true story', 'idealist', 'money', 'undercover cop', 'internal affairs', 'police corruption', 'biting', 'social justice', 'police vigilantism', 'questioning', 'whistleblower', 'grim', 'serious', 'cops', 'fighting the system', 'tense', 'intense', 'sinister', 'antagonistic', 'arrogant', 'callous', 'disgusted', 'enraged', 'informative']",1973-12-05,R
Enter the Dragon,1973,"['island', 'martial arts', 'kung fu', 'temple', 'monk', 'spy', 'shaolin', 'sister', 'hong kong', 'shaolin monk', 'east asian lead', 'martial arts tournament', 'crime lord']",1973-07-26,R
Deliverance,1972,"['rape', 'based on novel or book', 'river', 'banjo', 'strangeness', 'wound', 'wilderness', 'georgia', 'canoe', 'rafting', 'hillbilly', 'rapids', 'male rape']",1972-07-30,R
The French Connection,1971,"['drug dealer', 'new york city', 'police brutality', 'drug smuggling', 'undercover agent', 'gangster', 'heroin', 'marseille, france', 'paranoia', 'night life', 'attempted murder', 'drug mule', 'hijacking of train', 'police stakeout', 'police pursuit', 'popeye']",1971-10-07,R
Dirty Harry,1971,"['sniper', 'police', 'ambush', 'chase', 'ransom', 'san francisco, california', 'kidnapping', 'psychopath', 'detective', 'mayor', 'investigation', 'assault', 'swimming pool', 'beating', 'serial killer', 'gunfight', 'maniac', 'hunt', 'school bus', 'revolver', 'shocking', 'aggressive', 'neo-noir', 'san francisco', 'suspenseful', 'intense', 'antagonistic', 'commanding', 'defiant', 'tragic', 'harry callahan']",1971-12-21,R
Where Eagles Dare,1968,"['undercover agent', 'nazi', 'germany', 'liberation of prisoners', 'secret mission', 'world war ii', 'bavaria, germany', 'mountain', 'castle', 'two man army', 'parachute', 'infiltration', 'explosion', 'sabotage', 'commando', 'war hero', 'alps mountains', 'cable car', '1940s', 'sidecar', 'fall from height', 'soldiers', 'commanding', 'exhilarated']",1968-12-04,PG
The Odd Couple,1968,"['new york city', 'roommates', 'male friendship', 'based on play or musical', 'obsessive compulsive disorder (ocd)', 'poker game', 'divorced man', '1960s', 'eccentric man', 'neat freak', 'messy apartment', 'sports journalism', 'impartial']",1968-02-07,PG
