Series_Title,Released_Year,Keywords,date_details,Certificate
American History X,1998,"['prison', 'neo-nazism', 'rape', 'skinhead', 'sibling relationship', 'swastika', 'nazi', 'brother', 'fascism', 'tragedy', 'jail', 'school', 'los angeles, california', 'family', 'xenophobia', 'interracial friendship', 'nazism', 'disturbed', 'violence', 'crime', 'distressing']",1998-07-01,R
The Usual Suspects,1995,"['new york city', 'robbery', 'affectation', 'relatives', 'heist', 'flashback', 'police corruption', 'whodunit', 'los angeles, california', 'theft', 'criminal', 'criminal mastermind', 'cargo ship', 'mind game', 'shocking', 'neo-noir', 'mystery villain', 'incredulous', 'rashomon effect']",1995-01-25,R
Léon,1994,"['hotel room', 'new york city', 'immigrant', 'assassin', 'police brutality', 'corruption', 's.w.a.t.', 'hitman', 'loss of loved one', 'affectation', 'training', 'revenge', 'murder', 'loneliness', 'neighbor', 'tragic love', 'biting', 'blunt', 'city life', 'neo-noir', 'frantic', 'complex relationship', 'vindictive', 'dramatic', 'suspenseful', 'intense', 'callous', 'gentle', 'ominous', '萝莉']",1994-09-14,R
The Lion King,1994,"['father murder', 'loss of loved one', 'africa', 'lion', 'cartoon', 'manipulation', 'villain', 'redemption', 'musical', 'uncle', 'coming of age', 'murder', 'warthog', 'shaman', 'king', 'scar', 'family', 'hyena', 'meerkat', 'nature', 'mandrill', 'inspirational', 'comforting', 'powerful']",1994-06-11,G
Terminator 2: Judgment Day,1991,"['man vs machine', 'cyborg', 'shotgun', 'dystopia', 'moral ambiguity', 'post-apocalyptic future', 'villain', 'time travel', 'mental institution', 'juvenile delinquent', 'fictional war', 'urban setting', 'troubled teen', 'morphing', 'nuclear weapons', 'shape shifter', 'savior', 'catch phrase', 'aggressive', 'action hero', 'complex', 'good versus evil', 'sinister', 'depressing', 'commanding', 'compassionate', 'exhilarated']",1991-07-01,R
Nuovo Cinema Paradiso,1988,"['parent child relationship', 'sicily, italy', 'movie business', 'kiss', 'coming of age', 'flashback', 'magic realism', 'nostalgic', 'haunted by the past', 'censorship', 'nuovo cinema paradiso', 'movie theater', 'comforting', 'compassionate']",1988-09-29,PG
Hotaru no haka,1988,"['sibling relationship', 'hunger', 'world war ii', 'wartime', 'shelter', 'struggle for survival', 'pacific theater', 'adult animation', 'semi autobiographical', 'anti war', 'anime', 'grim', 'orphan siblings', 'children in wartime', 'distressing']",1988-04-16,NR
Back to the Future,1985,"['flying car', 'race against time', 'clock tower', 'car race', 'lightning', 'guitar', 'inventor', 'journey in the past', 'invention', 'time travel', 'bullying', 'mad scientist', 'love', 'fish out of water', 'terrorism', 'teenage love', 'destiny', 'hidden identity', 'teenage life', 'changing the past or future', '1950s', 'suspenseful']",1985-07-03,PG
Once Upon a Time in the West,1968,"['small town', 'loss of loved one', 'harmonica', 'wedding party', 'spaghetti western', 'arizona territory', 'intercontintental railroad', 'outlaw gang', 'water pump', 'mysterious character', 'boom town', 'railroad company', 'hope for a new life', 'railroad construction']",1968-12-20,PG-13
Psycho,1960,"['hotel', 'clerk', 'detective', 'shower', 'arizona', 'motel', 'halloween', 'stolen money', 'alter ego', 'taxidermy', 'money', 'murder', 'secretary', 'serial killer', 'slasher', 'psychological thriller', 'black and white', 'corpse', 'murderer', 'theft', 'overbearing mother', 'stabbing', 'mental illness', 'private detective', 'missing person', 'split personality', 'psycho', 'voyeurism', 'voyeur', 'oedipus complex', 'double identity', 'abusive mother', 'dual personality', 'proto-slasher', 'multiple personality disorder', 'mother son relationship', 'birds', 'anxious', 'dramatic', 'motel owner', 'woman on the run', 'corruptibility', 'confused identities', 'human vulnerabilities', 'gloomy', 'man with female alter ego']",1960-06-16,R
Casablanca,1942,"['corruption', 'nazi', 'escape', 'love triangle', 'resistance', 'spy', 'patriotism', 'casablanca, morocco', 'vichy regime', 'visa', 'nationalism', 'world war ii', 'morocco', 'film noir', 'war']",1942-11-26,PG
Modern Times,1936,"['factory', 'ambulance', 'invention', 'mental breakdown', 'tramp', 'great depression', 'industrial revolution', 'slapstick comedy', 'automation', 'jail', 'hospital', 'black and white', 'machine', 'pardon', 'guilty', 'silent film', 'unemployment', 'screwdriver', 'police arrest', 'wrongful conviction', 'communism', 'assembly line', 'prison break attempt', 'burglars', 'smuggling', 'orphans']",1936-02-05,G
City Lights,1931,"['blindness and impaired vision', 'eye operation', 'operation', ""love of one's life"", 'suicide attempt', 'flower shop', 'flower girl', 'tramp', 'love', 'black and white', 'millionaire', 'silent film', 'blind girl', 'boxing', 'feel good', 'comforting']",1931-01-30,G
Capharnaüm,2018,"['child abuse', 'slum', 'refugee', 'neglect', 'child bride', 'lawsuit', 'undocumented immigrant', 'poverty', 'life in the slums', 'slum dwellers']",2018-05-17,15
Ayla: The Daughter of War,2017,"['foster parents', 'korean war (1950-53)', 'turkish army', 'orphan', 'foster care', 'korean girl', 'korean child', 'turkish soldier', 'korean laws']",2017-10-27,PG-13
Vikram Vedha,2017,['encounter specialist'],2017-07-21,
Kimi no na wa.,2016,"['high school', 'race against time', 'dreams', 'afterlife', 'natural disaster', 'supernatural', 'time travel', 'comet', 'romance', 'tragedy', 'school', 'body-swap', 'high school student', 'nonlinear timeline', 'star crossed lovers', 'anime', 'japanese high school', 'loving', 'romantic']",2016-07-03,PG
Dangal,2016,"['small town', 'strong woman', 'sports', 'parent child relationship', 'empowerment', 'abusive father', 'feminism', 'wrestling', 'training', 'biography', 'autobiography', 'domestic abuse', 'fighting', 'womanhood', 'endurance', 'woman vs woman fight', 'female empowerment', 'determination', 'strength training', 'overcoming fears', 'father daughter relationship']",2016-12-21,PG
Spider-Man: Into the Spider-Verse,2018,"['superhero', 'based on comic', 'aftercreditsstinger', 'alternate universe']",2018-12-01,PG
Avengers: Endgame,2019,"['superhero', 'time travel', 'space travel', 'time machine', 'based on comic', 'sequel', 'alien invasion', 'superhero team', 'marvel cinematic universe (mcu)', 'alternate timeline', 'father daughter relationship', 'sister sister relationship', 'awestruck', 'powerful', 'vibrant']",2019-04-22,PG-13
Avengers: Infinity War,2018,"['sacrifice', 'magic', 'superhero', 'based on comic', 'space', 'battlefield', 'genocide', 'magical object', 'super power', 'superhero team', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'cosmic']",2018-04-23,PG-13
Coco,2017,"['skeleton', 'mexico', 'guitar', 'afterlife', 'musician', 'holiday', 'villain', 'singer', 'murderer', 'life after death', 'kids', 'day of the dead', 'music', 'boy']",2017-10-20,PG
Django Unchained,2012,"['rescue', 'friendship', 'bounty hunter', 'texas', 'slavery', 'plantation', 'rivalry', 'revenge', 'shootout', 'racism', 'kindness', 'dentist', 'django', 'slave trade', 'aftercreditsstinger', 'black slave', 'agreement', '19th century', 'chattanooga', 'german', 'cotton plantation', 'plantation owner', 'old west', 'western', '1850s', 'mississippi']",2012-12-11,R
The Dark Knight Rises,2012,"['airplane', 'fight', 'burglar', 'hostage', 'secret identity', 'crime fighter', 'superhero', 'villainess', 'time bomb', 'based on comic', 'cover-up', 'vigilante', 'tragic hero', 'mobile', 'terrorism', 'destruction', 'fighting', 'criminal underworld', 'cat burglar', 'flood']",2012-07-16,PG-13
3 Idiots,2009,"['suicide', 'suicide attempt', 'professor', 'college', 'middle class', 'slapstick comedy', 'coming of age', 'teacher', 'friends', 'engineering', 'university', 'subjective camera', 'smart kid', 'poor kid', 'student', 'pregnant', 'delhi']",2009-12-23,PG-13
Taare Zameen Par,2007,"['jealousy', 'parent child relationship', 'boarding school', 'painter', 'father', 'dyslexia', 'teacher', 'little boy', 'india', 'childhood', 'teachers and students']",2007-12-21,PG
WALL·E,2008,"['garbage', 'dystopia', 'space travel', 'distant future', 'loneliness', 'robot', 'aftercreditsstinger', 'duringcreditsstinger']",2008-06-22,G
The Lives of Others,2006,"['berlin, germany', 'government', 'corruption', 'espionage', 'germany', 'berlin wall', 'german democratic republic', 'cold war', 'blackmail', 'stasi', 'soviet union', 'freedom of speech', 'house search', ""artists' life"", 'interrogation', 'surveillance', 'heartbreak', 'east germany', 'communism', 'corrupt agent', 'political corruption', 'political thriller', 'surveillance state', 'persecuted writer', 'systemic corruption', 'suspenseful', 'noble sacrifice', 'corrupt government']",2006-03-14,R
Oldeuboi,2003,"['daughter', 'rage and hate', 'hostility', 'transformation', 'imprisonment', 'dark comedy', 'hypnosis', 'sushi restaurant', 'notebook', 'time', 'sin', 'alcoholism', 'flashback', 'revenge', 'loneliness', 'torture', 'based on manga', 'urination', 'rage', 'anger', 'catholic', 'incest', 'aggressive', 'captivity', 'neo-noir', 'brother sister sex', 'father daughter relationship', 'asian origins', 'remade', 'south korea', 'hammer', 'driven to suicide', 'suspenseful', 'tragic', 'brother sister incest', 'father daughter incest']",2003-11-21,R
Memento,2000,"['drug dealer', 'amnesia', 'insulin', 'tattoo', 'waitress', 'motel', 'manipulation', 'flashback', 'confusion', 'revenge', 'murder', 'memory loss', 'memory', 'psychological thriller', 'whodunit', 'los angeles, california', 'polaroid', 'based on short story', 'nonlinear timeline', 'mourning', 'insurance agent', 'individuality', 'phone call', 'mysterious', 'disturbed', 'paranoid', 'neo-noir', 'somber', 'reverse chronology', 'introspective', 'remember', 'suspenseful', 'tense', 'baffled', 'bewildered', 'bold', 'complicated']",2000-09-05,R
Mononoke-hime,1997,"['friendship', 'human vs nature', 'wolf', 'fight', 'wild boar', 'territory', 'leprosy', 'feral child', 'decapitation', 'rural area', 'historical fiction', 'spirit', 'demon', 'nature', 'environmentalism', 'adult animation', 'deforestation', 'anime', 'industrialization', 'fantasy', 'adventure']",1997-07-12,PG-13
Once Upon a Time in America,1984,"['epic', 'new york city', 'regret', 'lovesickness', 'rape', 'life and death', 'sexual abuse', 'street gang', 'corruption', 'based on novel or book', 'prohibition era', 'gangster', 'sadistic', 'money laundering', 'opium', 'mafia boss', 'murder', 'memory', 'jewish american', 'torture', 'brooklyn bridge', 'childhood friends', 'nostalgic', 'aggressive', '1920s', '1960s', '1930s']",1984-05-20,R
Raiders of the Lost Ark,1981,"['egypt', 'treasure', 'medallion', 'swastika', 'saving the world', 'nepal', 'himalaya mountain range', 'cairo', 'moses', 'hat', 'whip', 'leather jacket', 'mediterranean', 'ark of the covenant', 'ten commandments', 'nazi', 'excavation', 'riddle', 'treasure hunt', 'archaeologist', 'adventurer', 'archeology', 'religious history', '1930s', 'dramatic', 'excited']",1981-06-12,PG
The Shining,1980,"['hotel', ""new year's eve"", 'child abuse', 'based on novel or book', 'isolation', 'telepathy', 'delusion', 'halloween', 'snowstorm', 'colorado', 'seclusion', 'surrealism', ""writer's block"", 'alcoholism', 'premonition', 'psychic power', 'caretaker', 'loneliness', 'vision', 'domestic violence', 'postmodern', 'psychological thriller', 'writer', 'twins', 'labyrinth', 'alcoholic', 'blizzard', 'mutilation', 'bloody body of child', 'extrasensory perception', 'uxoricide', 'motherhood', 'filicide', 'snowed in', 'burial ground', 'hypothermia', 'haunted hotel', 'psychological disintegration', 'paranoid', 'afi', 'pediatrician', 'repetition', 'mother son relationship', 'malicious', 'supernatural power', 'anxious', 'new year', 'supernatural horror', 'ghost child', 'psychotronic film', 'dreary', 'cabin fever', 'psychological horror', 'deal with the devil', 'nuclear family', 'avant garde', 'suspenseful', ""new year's party"", 'identical twins']",1980-05-23,R
Apocalypse Now,1979,"['guerrilla warfare', 'epic', 'vietnam war', 'journalist', 'mission', 'vietnam', 'vietcong', 'central intelligence agency (cia)', 'cambodia', 'army', 'drug abuse', 'based on novel or book', 'secret mission', 'insanity', 'surrealism', 'tribe', 'green beret', 'jungle', 'descent into madness', 'brutality', 'riverboat', 'military', 'macabre', 'anti war', 'absurd', 'awestruck', 'commanding', 'distressing']",1979-05-19,R
Alien,1979,"['android', 'spacecraft', 'space marine', 'biology', 'dystopia', 'countdown', 'space suit', 'beheading', 'space travel', 'cowardice', 'alien', 'space', 'female protagonist', 'parasite', 'space opera', 'cosmos']",1979-05-25,R
Anand,1971,"['beach', 'nurse', 'terminal illness', 'cancer', 'joy of life', 'tape recorder', 'hospital', 'doctor', 'rajesh khanna', 'amitabh bachchan']",1971-03-12,
Tengoku to jigoku,1963,"['chauffeur', 'police', 'ransom', 'manager', 'kidnapping', 'blackmail', 'baby-snatching', 'film noir', 'black and white', 'shoe', 'japanese noir', 'emaciation', 'yokohama', 'shōwa era (1926-89)']",1963-03-01,NR
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"['usa president', 'general', 'cold war', 'strategic air command', 'dark comedy', 'nuclear missile', 'satire', 'black and white', 'cynical', 'war room', 'bomber pilot', 'nuclear weapons', 'ex-nazi', 'anti war', 'doomsday device', 'absurdism', 'satirical', 'playful', 'absurd', 'critical', 'hilarious', 'audacious', 'farcical', 'sardonic']",1964-01-29,PG
Witness for the Prosecution,1957,"['based on novel or book', 'nurse', 'widow', 'cigarette', 'alibi', 'letter', 'trial', 'murder', 'lawyer', 'courtroom', 'murder mystery', 'tiki culture']",1957-12-17,NR
Paths of Glory,1957,"['army', 'france', 'based on novel or book', 'general', 'germany', 'world war i', 'patriotism', 'cowardice', 'idealism', 'idealist', 'black and white', 'soldier', 'anti war', '1910s', 'war', 'fighting the system']",1957-10-25,NR
Rear Window,1954,"['nurse', 'isolation', 'photographer', 'suspicion of murder', 'wheelchair', 'girlfriend', 'salesman', 'neighbor', 'whodunit', 'convalescence', 'voyeurism', 'voyeur', 'missing wife', 'homebound', 'psychotic obsessions', 'suspicious behavior', 'flower bed', 'visiting nurse', 'suspenseful', 'the boy who cried wolf', 'admiring']",1954-08-01,PG
Sunset Blvd.,1950,"[""new year's eve"", 'jealousy', 'loss of sense of reality', 'screenwriter', 'butler', 'delusion', 'diva', 'film noir', 'hollywood', 'los angeles, california', 'black and white', 'madness', 'aging actor', 'has been', 'silent film star', 'ironic', 'grandiose  behavior', 'kept man', 'movie studio', 'bitter']",1950-08-10,NR
The Great Dictator,1940,"['amnesia', 'nazi', 'hairdresser', 'propaganda', 'world war i', 'dictator', 'jewish ghetto', 'fascism', 'world war ii', 'national socialism', 'national socialist party', 'satire', 'speech', 'black and white', 'barbershop', 'anti war', 'fictitious country']",1940-10-15,NR
1917,2019,"['race against time', 'world war i', 'british army', 'soldier', 'real time', 'trenches', '1910s', 'trench warfare', ""no man's land""]",2019-12-04,R
Tumbbad,2018,"['husband wife relationship', 'independence', 'village', 'greed', 'india', 'evil', 'wheat', 'hindu mythology', 'cursed', 'father son relationship']",2018-08-30,
Andhadhun,2018,"['pianist', 'witness to a crime', 'blind man', 'piano']",2018-10-05,R
Drishyam,2013,"['police', 'twist', 'hidden camera', 'murder', 'family', 'death', 'quarry', 'cable tv', 'false evidence']",2013-12-19,
